titulo,empresa,categoria,tipo,salario,localizacao,link
Optimizely Developer (CMS/Commerce | .NET),robusta,Software Development,contract,unspecified,"Northern America, Americas, Latin America (LATAM), Europe, Asia, Africa, APAC, Eastern Europe, Middle Africa, Northern Africa",https://jobs.workable.com/view/6ozm1NQS9rejbJt4GhMyAo/optimizely-developer-(cms%2Fcommerce-%7C-.net)---remote---8-months---octopus-by-rtg-in-jordan-at-robusta
Senior Python Developer,Intellectsoft,Software Development,full-time,unspecified,Worldwide,https://jobs.workable.com/view/v3AyRXAThCRByZCpT48Wxd/remote-senior-python-developer-(ir-515)-in-bulgaria-at-intellectsoft
Mid-Level Software Developer,Activate Group Limited,Software Development,full-time,unspecified,Worldwide,https://activate-group-limited.breezy.hr/p/c8d5e775123201-mid-level-software-developer?source=remotive
Middle Java Developer,Miratech,Software Development,full-time,unspecified,Worldwide,https://jobs.smartrecruiters.com/Miratech1/744000123431850-middle-java-developer
Software Engineer II - Backend - PHP,Fandom,Software Development,full-time,"pln 156,420 per year",Poland,https://about.fandom.com/careers/listing/7838506?gh_jid=7838506
Full Stack Engineer,First Connect Insurance,Software Development,contract,"pln 23,000 - 26,000 per month",Poland,https://job-boards.greenhouse.io/firstconnectinsurance/jobs/5199277008
Senior Full-Stack Software Engineer,UL Solutions,Software Development,full-time,unspecified,"Poland, Italy",https://fa-eups-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/9215
Senior Full-stack Developer,Sigma Software,Software Development,full-time,unspecified,"Latin America (LATAM), Europe",https://jobs.smartrecruiters.com/SigmaSoftware2/744000123424859-senior-full-stack-developer
Software Engineer - Client-facing Apps,Blueground,Software Development,full-time,unspecified,Worldwide,https://jobs.workable.com/view/dFhVgCHYPrkkMSz4WseZ9e/remote-software-engineer---client-facing-apps-in-greece-at-blueground
Head of Engineering,Lemon.io,Software Development,full-time,unspecified,"USA timezones, European timezones",https://remotive.com/remote-jobs/software-development/head-of-engineering-2089995
Senior Independent AI Engineer / Architect,A.Team,Software Development,contract,$120 - $170 /hour,"Americas, Europe, Israel",https://remotive.com/remote-jobs/software-development/senior-independent-ai-engineer-architect-1919266
Senior Independent Software Developer,A.Team,Software Development,contract,$90 - $150 /hour,"Americas, Europe, Israel",https://remotive.com/remote-jobs/software-development/senior-independent-software-developer-1919265
Freelance Writer,IAPWE,Writing,freelance,$50-$75 /hour,Worldwide,https://remotive.com/remote-jobs/writing/freelance-writer-1185979
Content Reviewer - US,TELUS Digital,Writing,part-time,$14/hour,USA,https://remotive.com/remote-jobs/all-others/content-reviewer-us-2089990
Senior Full-stack React Developer,Lemon.io,Software Development,contract,unspecified,"Americas, Europe, Asia, Oceania",https://remotive.com/remote-jobs/software-development/senior-full-stack-react-developer-2088711
Tech Lead Full-Stack Rails Engineer,Mitre Media,Software Development,full-time,$170k - $200k,"USA, Canada, USA timezones",https://remotive.com/remote-jobs/software-development/tech-lead-full-stack-rails-engineer-2069746
Online Data Analyst United States,TELUS Digital,Data and Analytics,part-time,unspecified,USA,https://remotive.com/remote-jobs/all-others/online-data-analyst-united-states-2088710
Office Assistant,Coalition Technologies ,Marketing,full-time,"$31,2k- $52k",Worldwide,https://remotive.com/remote-jobs/marketing/office-assistant-1680495
Senior Frontend Developer,Sanctuary Computer,Software Development,contract,$80k - $120k,"Latin America (LATAM), Asia",https://remotive.com/remote-jobs/software-development/senior-frontend-developer-2088707
Online Data Analyst (United States/Spanish speakers),TELUS Digital,Data and Analytics,part-time,unspecified,USA,https://remotive.com/remote-jobs/all-others/online-data-analyst-united-states-spanish-speakers-2088704
Copywriter,Coalition Technologies ,Writing,freelance,$20k -$35k,Worldwide,https://remotive.com/remote-jobs/writing/copywriter-1749306
Operations software assistant,Bulldog Digital Media,Operations,freelance,"$12k - $19k (35 hrs/week, freelance)","Europe, European timezones",https://remotive.com/remote-jobs/operations/operations-software-assistant-2090000
Mid/Senior AI Video Artist,EverAI,Marketing,full-time,-,Worldwide,https://remotive.com/remote-jobs/marketing/mid-senior-ai-video-artist-2089994
AI Engineer,Dry Ground AI,Artificial Intelligence ,full-time,$40- $60k,"Brazil, Colombia, Philippines",https://remotive.com/remote-jobs/artificial-intelligence/ai-engineer-2089958
Customer Retention Manager,AutoHDR,Customer Service,full-time,unspecified,USA,https://remotive.com/remote-jobs/customer-service/customer-retention-manager-2088656
Customer Support Representative,AutoHDR,Customer Service,full-time,unspecified,USA,https://remotive.com/remote-jobs/customer-service/customer-support-representative-2088655
"🇩🇪 Senior/Staff Software Engineer PHP, TS, Rust, Kotlin (m/w/d)",easybill GmbH,Software Development,full-time,unspecified,Germany,https://remotive.com/remote-jobs/software-development/senior-staff-software-engineer-php-ts-rust-kotlin-m-w-d-2088708
iOS Developer,nooro,Software Development,full-time,$60k-$130k (depending on experience),USA,https://remotive.com/remote-jobs/software-development/ios-developer-1956455
Fullstack Developer (US - ET),Chooose,Software Development,full-time,unspecified,USA,https://remotive.com/remote-jobs/software-development/fullstack-developer-us-et-2088706
Customer Success Team Lead (German Speaking),Filestage,Customer Service,full-time,unspecified,"Europe, EMEA",https://remotive.com/remote-jobs/customer-service/customer-success-team-lead-german-speaking-2088697
Medical Billing and Coding Specialist,QuickVisit Urgent Care,Medical,full-time,unspecified,USA,https://recruiting.paylocity.com/Recruiting/Jobs/Details/4122220
Tier 3 Network Engineer,Magna5 MS LLC,Information Technology,full-time,unspecified,USA,https://recruiting.paylocity.com/Recruiting/Jobs/Details/4122040
"Senior Director, Denials",Aspirion,All Others,full-time,unspecified,USA,https://recruiting.paylocity.com/Recruiting/Jobs/Details/4119913
